localId,project,on_crash_log,on_crash_loc_match,patch_source,matched_files,overlap_files,crash_locations,ignored_frames
40096184,skia,1,-1,,,,"/src/skia/src/codec/SkSwizzler.cpp:237:swizzle_index_to_n32(void*, unsigned char const*, int, int, int, int, unsigned int const*);/src/skia/src/codec/SkSwizzler.cpp:1233:SkSwizzler::swizzle(void*, unsigned char const*);/src/skia/src/codec/SkGifCodec.cpp:497:SkGifCodec::haveDecodedRow(int, unsigned char const*, int, int, bool);/src/skia/third_party/gif/SkGifImageReader.cpp:162:SkGIFLZWContext::outputRow(unsigned char const*);/src/skia/third_party/gif/SkGifImageReader.cpp:299:SkGIFLZWContext::doLZW(unsigned char const*, unsigned long);/src/skia/third_party/gif/SkGifImageReader.cpp:404:SkGIFFrameContext::decode(SkStreamBuffer*, SkGifCodec*, bool*);/src/skia/src/codec/SkGifCodec.cpp:374:SkGifCodec::decodeFrame(bool, SkCodec::Options const&, int*);/src/skia/src/codec/SkSampledCodec.cpp:247:SkSampledCodec::sampledDecode(SkImageInfo const&, void*, unsigned long, SkAndroidCodec::AndroidOptions const&);/src/skia/src/codec/SkSampledCodec.cpp:87:SkSampledCodec::onGetAndroidPixels(SkImageInfo const&, void*, unsigned long, SkAndroidCodec::AndroidOptions const&);/src/skia/src/codec/SkAndroidCodec.cpp:393:SkAndroidCodec::getAndroidPixels(SkImageInfo const&, void*, unsigned long, SkAndroidCodec::AndroidOptions const*);/src/skia/fuzz/oss_fuzz/FuzzAndroidCodec.cpp:33:FuzzAndroidCodec(sk_sp<SkData>, unsigned char);/src/skia/src/ports/SkMemory_malloc.cpp:71:sk_malloc_flags(unsigned long, unsigned int);/src/skia/src/core/SkMallocPixelRef.cpp:81:SkMallocPixelRef::MakeUsing(void* (*)(unsigned long), SkImageInfo const&, unsigned long);/src/skia/src/core/SkMallocPixelRef.cpp:91:SkMallocPixelRef::MakeAllocate(SkImageInfo const&, unsigned long);/src/skia/src/core/SkBitmap.cpp:238:SkBitmap::tryAllocPixels(SkImageInfo const&, unsigned long);/src/skia/fuzz/oss_fuzz/FuzzAndroidCodec.cpp:25:FuzzAndroidCodec(sk_sp<SkData>, unsigned char)",7
40096185,skia,1,-1,,,,"/src/skia/src/codec/SkSwizzler.cpp:240:swizzle_index_to_n32(void*, unsigned char const*, int, int, int, int, unsigned int const*);/src/skia/src/codec/SkSwizzler.cpp:1235:SkSwizzler::swizzle(void*, unsigned char const*);/src/skia/src/codec/SkWuffsCodec.cpp:516:SkWuffsCodec::onIncrementalDecode(int*);/src/skia/src/codec/SkCodec.cpp:362:SkCodec::getPixels(SkImageInfo const&, void*, unsigned long, SkCodec::Options const*);/src/skia/src/codec/SkCodecImageGenerator.cpp:55:SkCodecImageGenerator::onGetPixels(SkImageInfo const&, void*, unsigned long, SkImageGenerator::Options const&)::$_0::operator()(SkPixmap const&) const;/src/skia/src/core/SkPixmapPriv.h:49:SkPixmapPriv::Orient(SkPixmap const&, SkEncodedOrigin, std::__1::function<bool (SkPixmap const&)>);/src/skia/src/codec/SkCodecImageGenerator.cpp:66:SkCodecImageGenerator::onGetPixels(SkImageInfo const&, void*, unsigned long, SkImageGenerator::Options const&);/src/skia/src/core/SkImageGenerator.cpp:30:SkImageGenerator::getPixels(SkImageInfo const&, void*, unsigned long);/src/skia/src/image/SkImage_Lazy.cpp:163:generate_pixels(SkImageGenerator*, SkPixmap const&, int, int);/src/skia/src/image/SkImage_Lazy.cpp:192:SkImage_Lazy::getROPixels(SkBitmap*, SkImage::CachingHint) const;/src/skia/src/core/SkDevice.cpp:145:SkBaseDevice::drawImage(SkImage const*, float, float, SkPaint const&);/src/skia/src/core/SkCanvas.cpp:2222:SkCanvas::onDrawImage(SkImage const*, float, float, SkPaint const*);/src/skia/src/core/SkCanvas.cpp:1700:SkCanvas::drawImage(SkImage const*, float, float, SkPaint const*);/src/skia/fuzz/oss_fuzz/FuzzImage.cpp:27:FuzzImageDecode(sk_sp<SkData>);/src/skia/src/ports/SkMemory_malloc.cpp:71:sk_malloc_flags(unsigned long, unsigned int);/src/skia/src/codec/SkWuffsCodec.cpp:893:SkWuffsCodec_MakeFromStream(std::__1::unique_ptr<SkStream, std::__1::default_delete<SkStream> >, SkCodec::Result*);/src/skia/src/codec/SkCodec.cpp:110:SkCodec::MakeFromStream(std::__1::unique_ptr<SkStream, std::__1::default_delete<SkStream> >, SkCodec::Result*, SkPngChunkReader*);/src/skia/src/codec/SkCodec.cpp:133:SkCodec::MakeFromData(sk_sp<SkData>, SkPngChunkReader*);/src/skia/src/codec/SkCodecImageGenerator.cpp:14:SkCodecImageGenerator::MakeFromEncodedCodec(sk_sp<SkData>);/src/skia/src/ports/SkImageGenerator_skia.cpp:12:SkImageGenerator::MakeFromEncodedImpl(sk_sp<SkData>);/src/skia/src/core/SkImageGenerator.cpp:107:SkImageGenerator::MakeFromEncoded(sk_sp<SkData>);/src/skia/src/image/SkImage.cpp:124:SkImage::MakeFromEncoded(sk_sp<SkData>, SkIRect const*);/src/skia/fuzz/oss_fuzz/FuzzImage.cpp:15:FuzzImageDecode(sk_sp<SkData>)",11
42470067,imagemagick,1,-1,,,,"/src/imagemagick/MagickCore/token-private.h:141:GetUTFCode;/src/imagemagick/MagickCore/token.c:568:GlobExpression;/src/imagemagick/MagickCore/property.c:3944:InterpretImageProperties;/src/imagemagick/coders/label.c:127:ReadLABELImage;/src/imagemagick/MagickCore/constitute.c:550:ReadImage;/src/imagemagick/Magick++/lib/Image.cpp:4095:Magick::Image::read(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&);/src/imagemagick/Magick++/fuzz/encoder_utils.cc:15:fuzzEncoderWithStringFilename(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, unsigned char const*, unsigned long, bool (*)(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&));/src/imagemagick/MagickCore/memory.c:541:AcquireQuantumMemory;/src/imagemagick/MagickCore/string.c:713:ConstantString;/src/imagemagick/MagickCore/property.c:4574:SetImageProperty;/src/imagemagick/MagickCore/signature.c:555:SignatureImage;/src/imagemagick/MagickCore/property.c:2789:GetMagickPropertyLetter;/src/imagemagick/MagickCore/property.c:2827:GetMagickProperty;/src/imagemagick/MagickCore/property.c:3958:InterpretImageProperties;/src/imagemagick/coders/label.c:127:ReadLABELImage;/src/imagemagick/MagickCore/constitute.c:550:ReadImage;/src/imagemagick/Magick++/lib/Image.cpp:4095:Magick::Image::read(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&);/src/imagemagick/Magick++/fuzz/encoder_utils.cc:15:fuzzEncoderWithStringFilename(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, unsigned char const*, unsigned long, bool (*)(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&))",11
42470131,imagemagick,1,-1,,,,/src/imagemagick/MagickCore/draw.c:1590:DrawDashPolygon;/src/imagemagick/MagickCore/draw.c:4721:DrawPrimitive;/src/imagemagick/MagickCore/draw.c:3257:DrawImage;/src/imagemagick/coders/mvg.c:221:ReadMVGImage;/src/imagemagick/MagickCore/constitute.c:497:ReadImage;/src/imagemagick/MagickCore/blob.c:466:BlobToImage;/src/imagemagick/Magick++/lib/Image.cpp:4008:Magick::Image::read(Magick::Blob const&);/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc:88:malloc;/src/imagemagick/MagickCore/draw.c:312:CloneDrawInfo;/src/imagemagick/MagickCore/draw.c:2494:DrawImage;/src/imagemagick/coders/mvg.c:221:ReadMVGImage;/src/imagemagick/MagickCore/constitute.c:497:ReadImage;/src/imagemagick/MagickCore/blob.c:466:BlobToImage;/src/imagemagick/Magick++/lib/Image.cpp:4008:Magick::Image::read(Magick::Blob const&),6
42470140,poppler,1,-1,,,,"/src/poppler/poppler/CharCodeToUnicode.cc:276:CharCodeToUnicode::parseCMap(GooString*, int);/src/poppler/poppler/GfxFont.cc:588:GfxFont::readToUnicodeCMap(Dict*, int, CharCodeToUnicode*);/src/poppler/poppler/GfxFont.cc:1780:GfxCIDFont::GfxCIDFont(XRef*, char const*, Ref, GooString*, GfxFontType, Ref, Dict*);/src/poppler/poppler/GfxFont.cc:232:GfxFont::makeFont(XRef*, char const*, Ref, Dict*);/src/poppler/poppler/GfxFont.cc:2411:GfxFontDict::GfxFontDict(XRef*, Ref*, Dict*);/src/poppler/poppler/Gfx.cc:339:GfxResources::GfxResources(XRef*, Dict*, GfxResources*);/src/poppler/poppler/Gfx.cc:551:Gfx::Gfx(PDFDoc*, OutputDev*, int, Dict*, double, double, PDFRectangle*, PDFRectangle*, int, bool (*)(void*), void*, XRef*);/src/poppler/poppler/Page.cc:519:Page::createGfx(OutputDev*, double, double, int, bool, bool, int, int, int, int, bool, bool (*)(void*), void*, XRef*);/src/poppler/poppler/Page.cc:552:Page::displaySlice(OutputDev*, double, double, int, bool, bool, int, int, int, int, bool, bool (*)(void*), void*, bool (*)(Annot*, void*), void*, bool);/src/poppler/poppler/PDFDoc.cc:550:PDFDoc::displayPageSlice(OutputDev*, int, double, double, int, bool, bool, bool, int, int, int, int, bool (*)(void*), void*, bool (*)(Annot*, void*), void*, bool);/src/poppler/cpp/poppler-page-renderer.cpp:300:poppler::page_renderer::render_page(poppler::page const*, double, double, int, int, int, int, poppler::rotation_enum) const;/src/poppler/poppler/CharCodeToUnicode.cc:304:CharCodeToUnicode::parseCMap1(int (*)(void*), void*, int)",5
42470149,poppler,1,-1,,,,"/src/poppler/poppler/CMap.cc:127:CMap::parse(CMapCache*, GooString*, Stream*);/src/poppler/poppler/CMap.cc:80:CMap::parse(CMapCache*, GooString*, Object*);/src/poppler/poppler/GfxFont.cc:1823:GfxCIDFont::GfxCIDFont(XRef*, char const*, Ref, GooString*, GfxFontType, Ref, Dict*);/src/poppler/poppler/GfxFont.cc:232:GfxFont::makeFont(XRef*, char const*, Ref, Dict*);/src/poppler/poppler/GfxFont.cc:2411:GfxFontDict::GfxFontDict(XRef*, Ref*, Dict*);/src/poppler/poppler/Gfx.cc:339:GfxResources::GfxResources(XRef*, Dict*, GfxResources*);/src/poppler/poppler/Gfx.cc:551:Gfx::Gfx(PDFDoc*, OutputDev*, int, Dict*, double, double, PDFRectangle*, PDFRectangle*, int, bool (*)(void*), void*, XRef*);/src/poppler/poppler/Page.cc:519:Page::createGfx(OutputDev*, double, double, int, bool, bool, int, int, int, int, bool, bool (*)(void*), void*, XRef*);/src/poppler/poppler/Page.cc:552:Page::displaySlice(OutputDev*, double, double, int, bool, bool, int, int, int, int, bool, bool (*)(void*), void*, bool (*)(Annot*, void*), void*, bool);/src/poppler/poppler/PDFDoc.cc:550:PDFDoc::displayPageSlice(OutputDev*, int, double, double, int, bool, bool, bool, int, int, int, int, bool (*)(void*), void*, bool (*)(Annot*, void*), void*, bool);/src/poppler/cpp/poppler-page-renderer.cpp:300:poppler::page_renderer::render_page(poppler::page const*, double, double, int, int, int, int, poppler::rotation_enum) const;/src/poppler/poppler/CMap.cc:233:CMap::parse2(CMapCache*, int (*)(void*), void*)",5
42470179,wget2,1,-1,,,,/src/wget2/src/options.c:492:set_char_prefix;/src/wget2/src/options.c:502:parse_included_directories;/src/wget2/src/options.c:2341:set_long_option;/src/wget2/src/options.c:2516:_read_config;/src/wget2/src/options.c:2462:_read_config;/src/wget2/src/options.c:2548:read_config;/src/wget2/src/options.c:2921:init;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc:146:malloc;/src/wget2/libwget/xalloc.c:98:wget_malloc;/src/wget2/src/options.c:472:set_char_prefix;/src/wget2/src/options.c:502:parse_included_directories;/src/wget2/src/options.c:2341:set_long_option;/src/wget2/src/options.c:2516:_read_config;/src/wget2/src/options.c:2462:_read_config;/src/wget2/src/options.c:2548:read_config;/src/wget2/src/options.c:2921:init,10
42470183,wireshark,1,-1,,,,/src/wireshark/epan/proto.c:2267:detect_trailing_stray_characters;/src/wireshark/epan/proto.c:2729:proto_tree_new_item;/src/wireshark/epan/proto.c:3349:ptvcursor_add;/src/wireshark/epan/dissectors/packet-ncp2222.inc:2420:add_ptvc_field;/src/wireshark/epan/dissectors/packet-ncp2222.inc:2583:_process_ptvc_record;/src/wireshark/epan/dissectors/packet-ncp2222.inc:2649:process_ptvc_record;/src/wireshark/epan/dissectors/packet-ncp2222.inc:7223:dissect_ncp_request;/src/wireshark/epan/dissectors/packet-ncp.c:1191:dissect_ncp_common;/src/wireshark/epan/dissectors/packet-ncp.c:1287:dissect_ncp;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/dissectors/packet-ipx.c:430:dissect_ipx;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/packet.c:1383:dissector_try_uint;/src/wireshark/epan/dissectors/packet-ppp.c:4788:dissect_ppp_common;/src/wireshark/epan/dissectors/packet-ppp.c:6004:dissect_ppp_raw_hdlc;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/dissectors/packet-gre.c:501:dissect_gre;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/dissectors/packet-ip.c:1831:ip_try_dissect;/src/wireshark/epan/dissectors/packet-ipv6.c:2458:ipv6_dissect_next;/src/wireshark/epan/dissectors/packet-ipv6.c:2406:dissect_ipv6;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:3090:call_dissector_only;/src/wireshark/epan/packet.c:3103:call_dissector_with_data;/src/wireshark/epan/dissectors/packet-ip.c:2315:dissect_ip;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:3090:call_dissector_only;/src/wireshark/epan/packet.c:3465:call_all_postdissectors;/src/wireshark/epan/dissectors/packet-frame.c:681:dissect_frame;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:3090:call_dissector_only;/src/wireshark/epan/packet.c:3103:call_dissector_with_data;/src/wireshark/epan/packet.c:566:dissect_record;/src/wireshark/epan/epan.c:533:epan_dissect_run;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc:165:realloc;/src/wireshark/epan/wmem/wmem_strbuf.c:276:wmem_strbuf_finalize;/src/wireshark/epan/proto.c:1675:get_uint_string_value;/src/wireshark/epan/proto.c:2616:proto_tree_new_item;/src/wireshark/epan/proto.c:3349:ptvcursor_add;/src/wireshark/epan/dissectors/packet-ncp2222.inc:2420:add_ptvc_field;/src/wireshark/epan/dissectors/packet-ncp2222.inc:2583:_process_ptvc_record;/src/wireshark/epan/dissectors/packet-ncp2222.inc:2649:process_ptvc_record;/src/wireshark/epan/dissectors/packet-ncp2222.inc:7223:dissect_ncp_request;/src/wireshark/epan/dissectors/packet-ncp.c:1191:dissect_ncp_common;/src/wireshark/epan/dissectors/packet-ncp.c:1287:dissect_ncp;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/dissectors/packet-ipx.c:430:dissect_ipx;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/packet.c:1383:dissector_try_uint;/src/wireshark/epan/dissectors/packet-ppp.c:4788:dissect_ppp_common;/src/wireshark/epan/dissectors/packet-ppp.c:6004:dissect_ppp_raw_hdlc;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/dissectors/packet-gre.c:501:dissect_gre;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/dissectors/packet-ip.c:1831:ip_try_dissect;/src/wireshark/epan/dissectors/packet-ipv6.c:2458:ipv6_dissect_next;/src/wireshark/epan/dissectors/packet-ipv6.c:2406:dissect_ipv6;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:3090:call_dissector_only;/src/wireshark/epan/packet.c:3103:call_dissector_with_data;/src/wireshark/epan/dissectors/packet-ip.c:2315:dissect_ip;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:3090:call_dissector_only;/src/wireshark/epan/packet.c:3465:call_all_postdissectors,5
42470194,wireshark,1,-1,,,,/src/wireshark/epan/proto.c:2267:detect_trailing_stray_characters;/src/wireshark/epan/proto.c:2729:proto_tree_new_item;/src/wireshark/epan/proto.c:3373:proto_tree_add_item_new;/src/wireshark/epan/dissectors/packet-srvloc.c:886:dissect_srvloc;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/packet.c:1383:dissector_try_uint;/src/wireshark/epan/dissectors/packet-udp.c:666:decode_udp_ports;/src/wireshark/epan/dissectors/packet-udp.c:1127:dissect;/src/wireshark/epan/dissectors/packet-udp.c:1133:dissect_udp;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:3090:call_dissector_only;/src/wireshark/epan/packet.c:3465:call_all_postdissectors;/src/wireshark/epan/dissectors/packet-frame.c:681:dissect_frame;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:3090:call_dissector_only;/src/wireshark/epan/packet.c:3103:call_dissector_with_data;/src/wireshark/epan/packet.c:566:dissect_record;/src/wireshark/epan/epan.c:533:epan_dissect_run;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc:165:realloc;/src/wireshark/epan/wmem/wmem_strbuf.c:276:wmem_strbuf_finalize;/src/wireshark/epan/proto.c:1614:get_string_value;/src/wireshark/epan/proto.c:2568:proto_tree_new_item;/src/wireshark/epan/proto.c:3373:proto_tree_add_item_new;/src/wireshark/epan/dissectors/packet-srvloc.c:886:dissect_srvloc;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:1359:dissector_try_uint_new;/src/wireshark/epan/packet.c:1383:dissector_try_uint;/src/wireshark/epan/dissectors/packet-udp.c:666:decode_udp_ports;/src/wireshark/epan/dissectors/packet-udp.c:1127:dissect;/src/wireshark/epan/dissectors/packet-udp.c:1133:dissect_udp;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:3090:call_dissector_only;/src/wireshark/epan/packet.c:3465:call_all_postdissectors;/src/wireshark/epan/dissectors/packet-frame.c:681:dissect_frame;/src/wireshark/epan/packet.c:692:call_dissector_through_handle;/src/wireshark/epan/packet.c:777:call_dissector_work;/src/wireshark/epan/packet.c:3090:call_dissector_only;/src/wireshark/epan/packet.c:3103:call_dissector_with_data;/src/wireshark/epan/packet.c:566:dissect_record;/src/wireshark/epan/epan.c:533:epan_dissect_run,6
42470226,aom,1,-1,,,,/src/aom/av1/decoder/decodeframe.c:99:set_planes_to_neutral_grey;/src/aom/av1/decoder/decodeframe.c:4398:reset_frame_buffers;/src/aom/av1/decoder/decodeframe.c:4489:read_uncompressed_header;/src/aom/av1/decoder/decodeframe.c:5085:av1_decode_frame_headers_and_setup;/src/aom/av1/decoder/obu.c:291:read_frame_header_obu;/src/aom/av1/decoder/obu.c:728:aom_decode_frame_from_obus;/src/aom/av1/decoder/decoder.c:501:av1_receive_compressed_data;/src/aom/av1/av1_dx_iface.c:346:frame_worker_hook;/src/aom/aom_util/aom_thread.c:135:execute;/src/aom/av1/av1_dx_iface.c:503:decode_one;/src/aom/av1/av1_dx_iface.c:587:decoder_decode;/src/aom/aom/src/aom_decoder.c:111:aom_codec_decode;/src/aom/av1/common/frame_buffers.c:56:av1_get_frame_buffer;/src/aom/aom_scale/generic/yv12config.c:98:aom_realloc_frame_buffer;/src/aom/av1/decoder/decodeframe.c:2093:setup_buffer_pool;/src/aom/av1/decoder/decodeframe.c:2148:setup_frame_size;/src/aom/av1/decoder/decodeframe.c:4704:read_uncompressed_header;/src/aom/av1/decoder/decodeframe.c:5085:av1_decode_frame_headers_and_setup;/src/aom/av1/decoder/obu.c:291:read_frame_header_obu;/src/aom/av1/decoder/obu.c:728:aom_decode_frame_from_obus;/src/aom/av1/decoder/decoder.c:501:av1_receive_compressed_data;/src/aom/av1/av1_dx_iface.c:346:frame_worker_hook;/src/aom/aom_util/aom_thread.c:135:execute;/src/aom/av1/av1_dx_iface.c:503:decode_one;/src/aom/av1/av1_dx_iface.c:587:decoder_decode;/src/aom/aom/src/aom_decoder.c:111:aom_codec_decode;/src/llvm/projects/compiler-rt/lib/asan/asan_malloc_linux.cc:146:malloc;/src/aom/aom_mem/aom_mem.c:55:aom_memalign;/src/aom/aom_mem/aom_mem.c:63:aom_malloc;/src/aom/aom_mem/aom_mem.c:67:aom_calloc;/src/aom/av1/common/frame_buffers.c:60:av1_get_frame_buffer;/src/aom/aom_scale/generic/yv12config.c:98:aom_realloc_frame_buffer;/src/aom/av1/decoder/decodeframe.c:2093:setup_buffer_pool;/src/aom/av1/decoder/decodeframe.c:2148:setup_frame_size;/src/aom/av1/decoder/decodeframe.c:4704:read_uncompressed_header;/src/aom/av1/decoder/decodeframe.c:5085:av1_decode_frame_headers_and_setup;/src/aom/av1/decoder/obu.c:291:read_frame_header_obu;/src/aom/av1/decoder/obu.c:728:aom_decode_frame_from_obus;/src/aom/av1/decoder/decoder.c:501:av1_receive_compressed_data;/src/aom/av1/av1_dx_iface.c:346:frame_worker_hook;/src/aom/aom_util/aom_thread.c:135:execute;/src/aom/av1/av1_dx_iface.c:503:decode_one;/src/aom/av1/av1_dx_iface.c:587:decoder_decode;/src/aom/aom/src/aom_decoder.c:111:aom_codec_decode,16
